HUD frame time nsec:,5623000

Range Index,Elapsed Time, First Event,Last Event
0,17024,57,57
1,2225728,88,88
2,92032,97,97
3,14880,102,102
4,2193024,131,131
5,51488,135,135
6,9184,140,140
7,335648,150,150
8,10176,156,156
9,672,169,169
10,357568,185,185
11,22240,191,191
12,2408768,220,220
13,70304,229,229
14,672,254,254
15,704,269,269
16,51904,275,275
17,7632544,290,290
18,31328,329,329
19,1696,332,332
20,663712,347,347

Range Index,Elapsed Time, First Event,Last Event
0,16928,57,57
1,2260896,88,88
2,85376,97,97
3,14528,102,102
4,4363008,131,131
5,50880,135,135
6,9376,140,140
7,337728,150,150
8,10176,156,156
9,736,169,169
10,357440,185,185
11,23392,191,191
12,2388704,220,220
13,660544,229,229
14,704,254,254
15,768,269,269
16,52480,275,275
17,4545088,290,290
18,31360,329,329
19,1376,332,332
20,556800,347,347

Range Index,Elapsed Time, First Event,Last Event
0,17568,57,57
1,4782656,88,88
2,63040,97,97
3,14592,102,102
4,2715808,131,131
5,50880,135,135
6,9728,140,140
7,314752,150,150
8,10208,156,156
9,5120,169,169
10,392320,185,185
11,22304,191,191
12,2418432,220,220
13,62240,229,229
14,45600,254,254
15,2176,269,269
16,52064,275,275
17,4355040,290,290
18,31040,329,329
19,1664,332,332
20,630400,347,347

Range Index,Elapsed Time, First Event,Last Event
0,17952,57,57
1,2330016,88,88
2,67840,97,97
3,14496,102,102
4,4254848,131,131
5,50848,135,135
6,9664,140,140
7,314752,150,150
8,10144,156,156
9,5056,169,169
10,379072,185,185
11,22368,191,191
12,2935360,220,220
13,73664,229,229
14,90656,254,254
15,1856,269,269
16,52512,275,275
17,4305792,290,290
18,31392,329,329
19,1856,332,332
20,741280,347,347
